cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings,seed_cpe,Discovery Method
CVE-2020-9058,2022-01-10,"Z-Wave devices based on Silicon Labs 500 series chipsets using CRC-16 encapsulation, including but likely not limited to the Linear LB60Z-1 version 3.5, Dome DM501 version 4.26, and Jasco ZW4201 version 4.05, do not implement encryption or replay protection.",8.1,3.1,CWE-311,cpe:2.3:o:silabs:500_series_firmware:*:*:*:*:*:*:*:*|cpe:2.3:o:dome:dm501:4.26:*:*:*:*:*:*:*|cpe:2.3:o:jasco:zw4201:4.05:*:*:*:*:*:*:*|cpe:2.3:o:linear:lb60z-1:3.5:*:*:*:*:*:*:*,silabs:500_series_firmware,cpe_expansion
CVE-2020-9060,2022-01-10,"Z-Wave devices based on Silicon Labs 500 series chipsets using S2, including but likely not limited to the ZooZ ZST10 version 6.04, ZooZ ZEN20 version 5.03, ZooZ ZEN25 version 5.03, Aeon Labs ZW090-A version 3.95, and Fibaro FGWPB-111 version 4.3, are susceptible to denial of service and resource exhaustion via malformed SECURITY NONCE GET, SECURITY NONCE GET 2, NO OPERATION, or NIF REQUEST messages.",6.5,3.1,CWE-346|CWE-400,cpe:2.3:o:silabs:500_series_firmware:*:*:*:*:*:*:*:*|cpe:2.3:o:aeotec:zw090-a:3.95:*:*:*:*:*:*:*|cpe:2.3:o:fibaro:fgwpb-111:4.3:*:*:*:*:*:*:*|cpe:2.3:o:zooz:zen20:5.03:*:*:*:*:*:*:*|cpe:2.3:o:zooz:zen25:5.03:*:*:*:*:*:*:*|cpe:2.3:o:zooz:zst10:6.04:*:*:*:*:*:*:*,silabs:500_series_firmware,cpe_expansion
CVE-2020-9061,2022-01-10,"Z-Wave devices using Silicon Labs 500 and 700 series chipsets, including but not likely limited to the SiLabs UZB-7 version 7.00, ZooZ ZST10 version 6.04, Aeon Labs ZW090-A version 3.95, and Samsung STH-ETH-200 version 6.04, are susceptible to denial of service via malformed routing messages.",6.5,3.1,CWE-285,cpe:2.3:o:aeotec:zw090-a:3.95:*:*:*:*:*:*:*|cpe:2.3:o:samsung:sth-eth-200:6.04:*:*:*:*:*:*:*|cpe:2.3:o:silabs:uzb-7:7.00:*:*:*:*:*:*:*|cpe:2.3:o:zooz:zst10:6.04:*:*:*:*:*:*:*|cpe:2.3:o:silabs:500_series_firmware:*:*:*:*:*:*:*:*|cpe:2.3:o:silabs:700_series_firmware:-:*:*:*:*:*:*:*,silabs:500_series_firmware,cpe_expansion
