cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings,seed_cpe,Discovery Method
CVE-2018-18767,2018-12-20,"An issue was discovered in D-Link 'myDlink Baby App' version 2.04.06. Whenever actions are performed from the app (e.g., change camera settings or play lullabies), it communicates directly with the Wi-Fi camera (D-Link 825L firmware 1.08) with the credentials (username and password) in base64 cleartext. An attacker could conduct an MitM attack on the local network and very easily obtain these credentials.",7.0,3.0,CWE-326,cpe:2.3:a:dlink:mydlink_baby_camera_monitor:2.04.06:*:*:*:*:*:*:*|cpe:2.3:o:d-link:dcs-825l_firmware:1.08:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-825l:-:*:*:*:*:*:*:*,d-link:dcs-825l_firmware|dlink:dcs-825l,cpe_expansion
CVE-2026-1419,2026-01-26,A weakness has been identified in D-Link DCS700l 1.03.09. Affected is an unknown function of the file /setDayNightMode of the component Web Form Handler. Executing a manipulation of the argument LightSensorControl can lead to command injection. The attack may be launched remotely. The exploit has been made available to the public and could be used for attacks.,7.2,3.1,CWE-74|CWE-77,cpe:2.3:o:dlink:dcs-700l_firmware:1.03.09:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-700l:-:*:*:*:*:*:*:*,dlink:dcs-700l|dlink:dcs-700l_firmware,cpe_expansion
