Category,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings
robotvacuum,CVE-2019-12820,2019-07-19,"A vulnerability was found in the app 2.0 of the Shenzhen Jisiwei i3 robot vacuum cleaner. Actions performed on the app such as changing a password, and personal information it communicates with the server, use unencrypted HTTP. As an example, while logging in through the app to a Jisiwei account, the login request is being sent in cleartext. The vulnerability exists in both the Android and iOS version of the app. An attacker could exploit this by using an MiTM attack on the local network to obtain someone's login credentials, which gives them full access to the robot vacuum cleaner.",5.6,3.0,CWE-319,cpe:2.3:o:jisiwei:i3_firmware:2.0:*:*:*:*:*:*:*|cpe:2.3:h:jisiwei:i3:-:*:*:*:*:*:*:*
robotvacuum,CVE-2019-12821,2019-07-19,"A vulnerability was found in the app 2.0 of the Shenzhen Jisiwei i3 robot vacuum cleaner, while adding a device to the account using a QR-code. The QR-code follows an easily predictable pattern that depends only on the specific device ID of the robot vacuum cleaner. By generating a QR-code containing information about the device ID, it is possible to connect an arbitrary device and gain full access to it. The device ID has an initial ""JSW"" substring followed by a six digit number that depends on the specific device.",4.8,3.0,CWE-330,cpe:2.3:o:jisiwei:i3_firmware:2.0:*:*:*:*:*:*:*|cpe:2.3:h:jisiwei:i3:-:*:*:*:*:*:*:*
robotvacuum,CVE-2025-30198,2025-09-05,"ECOVACS robot vacuums and base stations communicate via an insecure Wi-Fi network with a deterministic WPA2-PSK, which can be easily derived.",6.3,3.1,CWE-321|CWE-798,cpe:2.3:o:ecovacs:deebot_x1s_pro_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_x1s_pro:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_x1_pro_omni_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_x1_pro_omni:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_x1_omni_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_x1_omni:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_x1_turbo_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_x1_turbo:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_t10_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_t10:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_t10_omni_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_t10_omni:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_t10_plus_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_t10_plus:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_t10_turbo_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_t10_turbo:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_t20_omni_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_t20_omni:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_t20_pro_plus_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_t20_pro_plus:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_t20_pro_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_t20_pro:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_t30_omni_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_t30_omni:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_t30s_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_t30s:-:*:*:*:*:*:*:*
robotvacuum,CVE-2025-30200,2025-09-05,"ECOVACS robot vacuums and base stations communicate via an insecure Wi-Fi network with a deterministic AES encryption key, which can be easily derived.",6.3,3.1,CWE-321|CWE-798,cpe:2.3:o:ecovacs:deebot_x1s_pro_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_x1s_pro:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_x1_pro_omni_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_x1_pro_omni:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_x1_omni_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_x1_omni:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_x1_turbo_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_x1_turbo:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_t10_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_t10:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_t10_omni_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_t10_omni:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_t10_plus_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_t10_plus:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_t10_turbo_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_t10_turbo:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_t20_omni_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_t20_omni:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_t20_pro_plus_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_t20_pro_plus:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_t20_pro_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_t20_pro:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_t30_omni_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_t30_omni:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_t30s_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_t30s:-:*:*:*:*:*:*:*
