cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings
CVE-2018-12735,2018-06-25,SAJ Solar Inverter allows remote attackers to obtain potentially sensitive information via a direct request for the inverter_info.htm or english_main.htm URI.,7.5,3.0,CWE-200,cpe:2.3:a:saj-electric:saj_solar_inverter:-:*:*:*:*:*:*:*
CVE-2019-19228,2019-12-04,Fronius Solar Inverter devices before 3.14.1 (HM 1.12.1) allow attackers to bypass authentication because the password for the today account is stored in the /tmp/web_users.conf file.,9.8,3.1,CWE-312,cpe:2.3:o:fronius:datamanager_box_2.0_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:datamanager_box_2.0:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:eco_25.0-3-s_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:eco_25.0-3-s:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:eco_27.0-3-s_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:eco_27.0-3-s:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:galvo_1.5-1_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:galvo_1.5-1:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:galvo_1.5-1_208-240_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:galvo_1.5-1_208-240:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:galvo_2.0-1_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:galvo_2.0-1:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:galvo_2.0-1_208-240_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:galvo_2.0-1_208-240:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:galvo_2.5-1_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:galvo_2.5-1:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:galvo_2.5-1_208-240_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:galvo_2.5-1_208-240:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:galvo_3.0-1_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:galvo_3.0-1:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:galvo_3.1-1_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:galvo_3.1-1:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:galvo_3.1-1_208-240_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:galvo_3.1-1_208-240:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:primo_10.0-1_208-240_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:primo_10.0-1_208-240:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:primo_11.4-1_208-240_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:primo_11.4-1_208-240:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:primo_12.5-1_208-240_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:primo_12.5-1_208-240:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:primo_15.0-1_208-240_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:primo_15.0-1_208-240:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:primo_3.0-1_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:primo_3.0-1:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:primo_3.5-1_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:primo_3.5-1:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:primo_3.6-1_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:primo_3.6-1:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:primo_3.8-1_208-240_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:primo_3.8-1_208-240:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:primo_4.0-1_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:primo_4.0-1:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:primo_4.6-1_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:primo_4.6-1:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:primo_5.0-1_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:primo_5.0-1:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:primo_5.0-1_208-240_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:primo_5.0-1_208-240:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:primo_5.0-1_aus_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:primo_5.0-1_aus:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:primo_5.0-1_sc_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:primo_5.0-1_sc:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:primo_6.0-1_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:primo_6.0-1:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:primo_6.0-1_208-240_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:primo_6.0-1_208-240:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:primo_7.6-1_208-240_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:primo_7.6-1_208-240:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:primo_8.2-1_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:primo_8.2-1:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:primo_8.2-1_208-240_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:primo_8.2-1_208-240:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_10.0-3-m_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_10.0-3-m:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_10.0-3-m-os_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_10.0-3-m-os:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_10.0-3_208-240_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_10.0-3_208-240:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_10.0-3_480_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_10.0-3_480:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_12.0-3_208-240_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_12.0-3_208-240:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_12.5-3-m_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_12.5-3-m:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_12.5-3_480_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_12.5-3_480:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_15.0-3-m_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_15.0-3-m:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_15.0-3_107_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_15.0-3_107:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_15.0-3_480_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_15.0-3_480:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_17.5-3-m_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_17.5-3-m:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_17.5-3_480_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_17.5-3_480:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_20.0-3-m_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_20.0-3-m:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_20.0-3_480_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_20.0-3_480:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_22.7-3_480_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_22.7-3_480:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_24.0-3_480_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_24.0-3_480:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_3.0-3-m_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_3.0-3-m:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_3.0-3-s_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_3.0-3-s:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_3.7-3-m_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_3.7-3-m:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_3.7-3-s_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_3.7-3-s:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_4.5-3-m_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_4.5-3-m:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_4.5-3-s_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_4.5-3-s:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_5.0-3-m_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_5.0-3-m:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_6.0-3-m_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_6.0-3-m:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_7.0-3-m_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_7.0-3-m:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_8.2-3-m_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_8.2-3-m:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_advanced_10.0-3_208-240_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_advanced_10.0-3_208-240:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_advanced_12.0-3_208-240_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_advanced_12.0-3_208-240:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_advanced_15.0-3_480_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_advanced_15.0-3_480:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_advanced_20.0-3_480_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_advanced_20.0-3_480:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_advanced_22.7-3_480_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_advanced_22.7-3_480:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_advanced_24.0-3_480_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_advanced_24.0-3_480:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_hybrid_3.0-3-m_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_hybrid_3.0-3-m:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_hybrid_4.0-3-m_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_hybrid_4.0-3-m:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_hybrid_5.0-3-m_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_hybrid_5.0-3-m:-:*:*:*:*:*:*:*
CVE-2019-19229,2019-12-04,admincgi-bin/service.fcgi on Fronius Solar Inverter devices before 3.14.1 (HM 1.12.1) allows action=download&filename= Directory Traversal.,6.5,3.1,CWE-22,cpe:2.3:o:fronius:datamanager_box_2.0_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:datamanager_box_2.0:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:eco_25.0-3-s_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:eco_25.0-3-s:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:eco_27.0-3-s_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:eco_27.0-3-s:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:galvo_1.5-1_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:galvo_1.5-1:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:galvo_1.5-1_208-240_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:galvo_1.5-1_208-240:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:galvo_2.0-1_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:galvo_2.0-1:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:galvo_2.0-1_208-240_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:galvo_2.0-1_208-240:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:galvo_2.5-1_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:galvo_2.5-1:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:galvo_2.5-1_208-240_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:galvo_2.5-1_208-240:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:galvo_3.0-1_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:galvo_3.0-1:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:galvo_3.1-1_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:galvo_3.1-1:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:galvo_3.1-1_208-240_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:galvo_3.1-1_208-240:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:primo_10.0-1_208-240_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:primo_10.0-1_208-240:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:primo_11.4-1_208-240_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:primo_11.4-1_208-240:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:primo_12.5-1_208-240_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:primo_12.5-1_208-240:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:primo_15.0-1_208-240_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:primo_15.0-1_208-240:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:primo_3.0-1_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:primo_3.0-1:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:primo_3.5-1_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:primo_3.5-1:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:primo_3.6-1_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:primo_3.6-1:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:primo_3.8-1_208-240_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:primo_3.8-1_208-240:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:primo_4.0-1_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:primo_4.0-1:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:primo_4.6-1_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:primo_4.6-1:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:primo_5.0-1_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:primo_5.0-1:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:primo_5.0-1_208-240_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:primo_5.0-1_208-240:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:primo_5.0-1_aus_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:primo_5.0-1_aus:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:primo_5.0-1_sc_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:primo_5.0-1_sc:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:primo_6.0-1_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:primo_6.0-1:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:primo_6.0-1_208-240_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:primo_6.0-1_208-240:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:primo_7.6-1_208-240_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:primo_7.6-1_208-240:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:primo_8.2-1_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:primo_8.2-1:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:primo_8.2-1_208-240_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:primo_8.2-1_208-240:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_10.0-3-m_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_10.0-3-m:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_10.0-3-m-os_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_10.0-3-m-os:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_10.0-3_208-240_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_10.0-3_208-240:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_10.0-3_480_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_10.0-3_480:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_12.0-3_208-240_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_12.0-3_208-240:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_12.5-3-m_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_12.5-3-m:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_12.5-3_480_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_12.5-3_480:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_15.0-3-m_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_15.0-3-m:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_15.0-3_107_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_15.0-3_107:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_15.0-3_480_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_15.0-3_480:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_17.5-3-m_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_17.5-3-m:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_17.5-3_480_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_17.5-3_480:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_20.0-3-m_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_20.0-3-m:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_20.0-3_480_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_20.0-3_480:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_22.7-3_480_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_22.7-3_480:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_24.0-3_480_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_24.0-3_480:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_3.0-3-m_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_3.0-3-m:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_3.0-3-s_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_3.0-3-s:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_3.7-3-m_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_3.7-3-m:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_3.7-3-s_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_3.7-3-s:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_4.5-3-m_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_4.5-3-m:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_4.5-3-s_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_4.5-3-s:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_5.0-3-m_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_5.0-3-m:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_6.0-3-m_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_6.0-3-m:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_7.0-3-m_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_7.0-3-m:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_8.2-3-m_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_8.2-3-m:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_advanced_10.0-3_208-240_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_advanced_10.0-3_208-240:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_advanced_12.0-3_208-240_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_advanced_12.0-3_208-240:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_advanced_15.0-3_480_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_advanced_15.0-3_480:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_advanced_20.0-3_480_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_advanced_20.0-3_480:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_advanced_22.7-3_480_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_advanced_22.7-3_480:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_advanced_24.0-3_480_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_advanced_24.0-3_480:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_hybrid_3.0-3-m_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_hybrid_3.0-3-m:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_hybrid_4.0-3-m_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_hybrid_4.0-3-m:-:*:*:*:*:*:*:*|cpe:2.3:o:fronius:symo_hybrid_5.0-3-m_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fronius:symo_hybrid_5.0-3-m:-:*:*:*:*:*:*:*
CVE-2025-30257,2025-04-15,Unauthenticated attackers can retrieve serial number of smart meters associated to a specific user account.,5.3,3.1,CWE-639,cpe:2.3:a:growatt:cloud_portal:*:*:*:*:*:*:*:*
CVE-2025-30254,2025-04-15,An unauthenticated attacker can obtain a serial number of a smart meter(s) using its owner's username.,5.3,3.1,CWE-639,cpe:2.3:a:growatt:cloud_portal:*:*:*:*:*:*:*:*
CVE-2026-25872,2026-02-10,"JUNG Smart Panel KNX firmware version L1.12.22 and prior contain an unauthenticated path traversal vulnerability in the embedded web interface. The application fails to properly validate file path input, allowing remote, unauthenticated attackers to access arbitrary files on the underlying filesystem within the context of the web server. This may result in disclosure of system configuration files and other sensitive information.",5.3,3.1,CWE-22,
CVE-2025-14014,2026-02-12,"Unrestricted Upload of File with Dangerous Type vulnerability in NTN Information Processing Services Computer Software Hardware Industry and Trade Ltd. Co. Smart Panel allows Accessing Functionality Not Properly Constrained by ACLs.

This issue affects Smart Panel: before 20251215.",9.8,3.1,CWE-434,
