cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings
CVE-2022-35122,2022-08-17,An access control issue in Ecowitt GW1100 Series Weather Stations <=GW1100B_v2.1.5 allows unauthenticated attackers to access sensitive information including device and local WiFi passwords.,9.1,3.1,CWE-306,cpe:2.3:o:ecowitt:gw1100_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecowitt:gw1100:-:*:*:*:*:*:*:*
CVE-2022-45291,2023-04-25,"PWS Personal Weather Station Dashboard (PWS_Dashboard) LTS December 2020 (2012_lts) allows remote code execution by injecting PHP code into settings.php. Attacks can use the PWS_printfile.php, PWS_frame_text.php, PWS_listfile.php, PWS_winter.php, and PWS_easyweathersetup.php endpoints. A contributing factor is a hardcoded login password of support, which is not documented. (This is not the same as the documented setup password, which is 12345.) The issue was fixed in late 2022.",7.2,3.1,CWE-798,cpe:2.3:a:pwsdashboard:personal_weather_station_dashboard:-:*:*:*:*:*:*:*
CVE-2023-25478,2023-07-10,Cross-Site Request Forgery (CSRF) vulnerability in Jason Rouet Weather Station plugin <= 3.8.12 versions.,8.8,3.1,CWE-352,cpe:2.3:a:weather_station_project:weather_station:*:*:*:*:*:wordpress:*:*
CVE-2024-12078,2025-01-23,"ECOVACS robot lawn mowers and vacuums use a shared, static secret key to encrypt BLE GATT messages. An unauthenticated attacker within BLE range can control any robot using the same key.",6.3,3.1,CWE-321,cpe:2.3:o:ecovacs:deebot_n10_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_n10:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_t10_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_t10:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_x1_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_x1:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_t20_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_t20:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_x2_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_x2:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:goat_g1_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:goat_g1:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:airbot_z1_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:airbot_z1:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:airbot_ava_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:airbot_ava:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:airbot_andy_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:airbot_andy:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_900_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_900:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_n8_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_n8:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_t8_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_t8:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_n9_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_n9:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_t9_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_t9:-:*:*:*:*:*:*:*
CVE-2025-47423,2025-05-07,"Personal Weather Station Dashboard 12_lts allows unauthenticated remote attackers to read arbitrary files via ../ directory traversal in the test parameter to /others/_test.php, as demonstrated by reading the server's private SSL key in cleartext.",5.8,3.1,CWE-24,
CVE-2025-4008,2025-05-21,"The Meteobridge web interface let meteobridge administrator manage their weather station data collection and administer their meteobridge system through a web application written in CGI shell scripts and C.

This web interface exposes an endpoint that is vulnerable to command injection.

Remote unauthenticated attackers can gain arbitrary command execution with elevated privileges ( root ) on affected devices.",8.8,3.1,CWE-77|CWE-306,cpe:2.3:a:smartbedded:meteobridge_vm:*:*:*:*:*:*:*:*|cpe:2.3:o:smartbedded:meteobridge_firmware:*:*:*:*:*:*:*:*
