Difference Type,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings
keyword_only,CVE-2018-15123,2018-08-13,Insecure configuration storage in Zipato Zipabox Smart Home Controller BOARD REV - 1 with System Version -118 allows remote attacker perform new attack vectors and take under control device and smart home.,9.8,3.0,,cpe:2.3:o:zipato:zipabox_firmware:118:*:*:*:*:*:*:*|cpe:2.3:h:zipato:zipabox:-:*:*:*:*:*:*:*
keyword_only,CVE-2018-15124,2018-08-13,Weak hashing algorithm in Zipato Zipabox Smart Home Controller BOARD REV - 1 with System Version -118 allows unauthenticated attacker extract clear text passwords and get root access on the device.,9.8,3.0,CWE-326,cpe:2.3:o:zipato:zipabox_firmware:118:*:*:*:*:*:*:*|cpe:2.3:h:zipato:zipabox:-:*:*:*:*:*:*:*
keyword_only,CVE-2018-15125,2018-08-13,Sensitive Information Disclosure in Zipato Zipabox Smart Home Controller allows remote attacker get sensitive information that expands attack surface.,7.5,3.0,CWE-200,cpe:2.3:o:zipato:zipabox_firmware:118:*:*:*:*:*:*:*|cpe:2.3:h:zipato:zipabox:-:*:*:*:*:*:*:*
keyword_only,CVE-2019-11897,2019-08-21,"A Server-Side Request Forgery (SSRF) vulnerability in the backup & restore functionality in earlier versions than ProSyst mBS SDK 8.2.6 and Bosch IoT Gateway Software 9.3.0 allows a remote attacker to forge GET requests to arbitrary URLs. In addition, this could potentially allow an attacker to read sensitive zip files from the local server.",8.6,3.0,CWE-918,cpe:2.3:a:bosch:iot_gateway_software:*:*:*:*:*:*:*:*|cpe:2.3:a:bosch:prosyst_mbs_sdk:*:*:*:*:*:*:*:*
keyword_only,CVE-2019-11601,2019-08-21,A directory traversal vulnerability in remote access to backup & restore in earlier versions than ProSyst mBS SDK 8.2.6 and Bosch IoT Gateway Software 9.2.0 allows remote attackers to write or delete files at any location.,7.5,3.1,CWE-22,cpe:2.3:a:bosch:iot_gateway_software:*:*:*:*:*:*:*:*|cpe:2.3:a:bosch:prosyst_mbs_sdk:*:*:*:*:*:*:*:*
keyword_only,CVE-2019-11602,2019-08-21,Leakage of stack traces in remote access to backup & restore in earlier versions than ProSyst mBS SDK 8.2.6 and Bosch IoT Gateway Software 9.2.0 allows remote attackers to gather information about the file system structure.,5.3,3.0,CWE-209,cpe:2.3:a:bosch:iot_gateway_software:*:*:*:*:*:*:*:*|cpe:2.3:a:bosch:prosyst_mbs_sdk:*:*:*:*:*:*:*:*
keyword_only,CVE-2019-11603,2019-08-21,A HTTP Traversal Attack in earlier versions than ProSyst mBS SDK 8.2.6 and Bosch IoT Gateway Software 9.0.2 allows remote attackers to read files outside the http root.,7.5,3.0,CWE-22,cpe:2.3:a:bosch:iot_gateway_software:*:*:*:*:*:*:*:*|cpe:2.3:a:bosch:prosyst_mbs_sdk:*:*:*:*:*:*:*:*
keyword_only,CVE-2019-20480,2020-02-24,"In MIELE XGW 3000 ZigBee Gateway before 2.4.0, a malicious website visited by an authenticated admin user or a malicious mail is allowed to make arbitrary changes in the ""admin panel"" because there is no CSRF protection.",8.8,3.1,CWE-352,cpe:2.3:o:miele:xgw_3000_zigbee_gateway_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:miele:xgw_3000_zigbee_gateway:-:*:*:*:*:*:*:*
keyword_only,CVE-2019-20481,2020-02-24,"In MIELE XGW 3000 ZigBee Gateway before 2.4.0, the Password Change Function does not require knowledge of the old password. This can be exploited in conjunction with CVE-2019-20480.",9.8,3.1,CWE-287,cpe:2.3:o:miele:xgw_3000_zigbee_gateway_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:miele:xgw_3000_zigbee_gateway:-:*:*:*:*:*:*:*
keyword_only,CVE-2019-5160,2020-03-11,"An exploitable improper host validation vulnerability exists in the Cloud Connectivity functionality of WAGO PFC200 Firmware versions 03.02.02(14), 03.01.07(13), and 03.00.39(12). A specially crafted HTTPS POST request can cause the software to connect to an unauthorized host, resulting in unauthorized access to firmware update functionality. An attacker can send an authenticated HTTPS POST request to direct the Cloud Connectivity software to connect to an attacker controlled Azure IoT Hub node.",9.1,3.1,,cpe:2.3:o:wago:pfc200_firmware:03.00.39\(12\):*:*:*:*:*:*:*|cpe:2.3:o:wago:pfc200_firmware:03.01.07\(13\):*:*:*:*:*:*:*|cpe:2.3:o:wago:pfc200_firmware:03.02.02\(14\):*:*:*:*:*:*:*|cpe:2.3:h:wago:pfc200:-:*:*:*:*:*:*:*
