category,metric,value,n,pct
smartplugs,integrity,High,13,41.9
smartplugs,integrity,Low,4,12.9
smartplugs,integrity,None,14,45.2
smartplugs,availability,High,16,51.6
smartplugs,availability,Low,2,6.5
smartplugs,availability,None,13,41.9
smartplugs,impact_combination,C+I+A,13,41.9
smartplugs,impact_combination,C+I,2,6.5
smartplugs,impact_combination,C,9,29.0
smartplugs,impact_combination,I,2,6.5
smartplugs,impact_combination,A,5,16.1
alarms,attack_vector,Network,60,69.8
alarms,attack_vector,Adjacent,16,18.6
alarms,attack_vector,Local,3,3.5
alarms,attack_vector,Physical,7,8.1
alarms,attack_complexity,Low,74,86.0
alarms,attack_complexity,High,12,14.0
alarms,privileges_required,None,68,79.1
alarms,privileges_required,Low,18,20.9
alarms,user_interaction,None,81,94.2
alarms,user_interaction,Required,5,5.8
alarms,scope,Unchanged,75,87.2
alarms,scope,Changed,11,12.8
alarms,confidentiality,High,60,69.8
alarms,confidentiality,Low,3,3.5
alarms,confidentiality,None,23,26.7
alarms,integrity,High,66,76.7
alarms,integrity,Low,5,5.8
alarms,integrity,None,15,17.4
alarms,availability,High,64,74.4
alarms,availability,Low,1,1.2
alarms,availability,None,21,24.4
alarms,impact_combination,C+I+A,53,61.6
alarms,impact_combination,C+I,5,5.8
alarms,impact_combination,I+A,2,2.3
alarms,impact_combination,C,5,5.8
alarms,impact_combination,I,11,12.8
alarms,impact_combination,A,10,11.6
robotvacuum,attack_vector,Network,14,51.9
robotvacuum,attack_vector,Adjacent,5,18.5
robotvacuum,attack_vector,Local,5,18.5
robotvacuum,attack_vector,Physical,3,11.1
robotvacuum,attack_complexity,Low,16,59.3
robotvacuum,attack_complexity,High,11,40.7
robotvacuum,privileges_required,None,20,74.1
robotvacuum,privileges_required,Low,5,18.5
robotvacuum,privileges_required,High,2,7.4
robotvacuum,user_interaction,None,26,96.3
robotvacuum,user_interaction,Required,1,3.7
robotvacuum,scope,Unchanged,24,88.9
robotvacuum,scope,Changed,3,11.1
robotvacuum,confidentiality,High,16,59.3
robotvacuum,confidentiality,Low,7,25.9
robotvacuum,confidentiality,None,4,14.8
robotvacuum,integrity,High,15,55.6
robotvacuum,integrity,Low,7,25.9
robotvacuum,integrity,None,5,18.5
robotvacuum,availability,High,9,33.3
robotvacuum,availability,Low,6,22.2
robotvacuum,availability,None,12,44.4
robotvacuum,impact_combination,C+I+A,14,51.9
robotvacuum,impact_combination,C+I,4,14.8
robotvacuum,impact_combination,I+A,1,3.7
robotvacuum,impact_combination,C,5,18.5
robotvacuum,impact_combination,I,3,11.1
fans,attack_vector,Adjacent,1,100.0
fans,attack_complexity,Low,1,100.0
fans,privileges_required,None,1,100.0
fans,user_interaction,None,1,100.0
fans,scope,Changed,1,100.0
fans,confidentiality,None,1,100.0
fans,integrity,None,1,100.0
fans,availability,High,1,100.0
fans,impact_combination,A,1,100.0
fridge,attack_vector,Network,2,66.7
fridge,attack_vector,Adjacent,1,33.3
fridge,attack_complexity,Low,3,100.0
fridge,privileges_required,None,3,100.0
fridge,user_interaction,None,2,66.7
fridge,user_interaction,Required,1,33.3
fridge,scope,Unchanged,2,66.7
fridge,scope,Changed,1,33.3
fridge,confidentiality,High,2,66.7
fridge,confidentiality,Low,1,33.3
fridge,integrity,High,1,33.3
fridge,integrity,Low,2,66.7
fridge,availability,High,1,33.3
fridge,availability,Low,1,33.3
fridge,availability,None,1,33.3
fridge,impact_combination,C+I+A,2,66.7
fridge,impact_combination,C+I,1,33.3
sensors,attack_vector,Network,2,50.0
sensors,attack_vector,Adjacent,2,50.0
sensors,attack_complexity,Low,4,100.0
sensors,privileges_required,None,4,100.0
sensors,user_interaction,None,3,75.0
sensors,user_interaction,Required,1,25.0
sensors,scope,Unchanged,4,100.0
sensors,confidentiality,High,2,50.0
sensors,confidentiality,None,2,50.0
sensors,integrity,High,2,50.0
sensors,integrity,None,2,50.0
sensors,availability,High,2,50.0
sensors,availability,Low,1,25.0
sensors,availability,None,1,25.0
sensors,impact_combination,C+I+A,1,25.0
sensors,impact_combination,I+A,1,25.0
sensors,impact_combination,C,1,25.0
sensors,impact_combination,A,1,25.0
airpurifier,attack_vector,Network,2,100.0
airpurifier,attack_complexity,Low,2,100.0
airpurifier,privileges_required,None,2,100.0
airpurifier,user_interaction,None,1,50.0
airpurifier,user_interaction,Required,1,50.0
airpurifier,scope,Unchanged,1,50.0
airpurifier,scope,Changed,1,50.0
airpurifier,confidentiality,High,1,50.0
airpurifier,confidentiality,Low,1,50.0
airpurifier,integrity,High,1,50.0
airpurifier,integrity,Low,1,50.0
airpurifier,availability,High,1,50.0
airpurifier,availability,None,1,50.0
airpurifier,impact_combination,C+I+A,1,50.0
airpurifier,impact_combination,C+I,1,50.0
lighting,attack_vector,Network,17,50.0
lighting,attack_vector,Adjacent,16,47.1
lighting,attack_vector,Physical,1,2.9
lighting,attack_complexity,Low,30,88.2
lighting,attack_complexity,High,4,11.8
lighting,privileges_required,None,31,91.2
lighting,privileges_required,Low,3,8.8
lighting,user_interaction,None,32,94.1
lighting,user_interaction,Required,2,5.9
lighting,scope,Unchanged,33,97.1
lighting,scope,Changed,1,2.9
lighting,confidentiality,High,21,61.8
lighting,confidentiality,Low,1,2.9
lighting,confidentiality,None,12,35.3
lighting,integrity,High,17,50.0
lighting,integrity,Low,2,5.9
lighting,integrity,None,15,44.1
lighting,availability,High,22,64.7
lighting,availability,Low,2,5.9
lighting,availability,None,10,29.4
lighting,impact_combination,C+I+A,13,38.2
lighting,impact_combination,C+I,3,8.8
lighting,impact_combination,I+A,2,5.9
lighting,impact_combination,C,6,17.6
lighting,impact_combination,I,1,2.9
lighting,impact_combination,A,9,26.5
appliances,attack_vector,Network,3,100.0
appliances,attack_complexity,Low,2,66.7
appliances,attack_complexity,High,1,33.3
appliances,privileges_required,None,3,100.0
appliances,user_interaction,None,2,66.7
appliances,user_interaction,Required,1,33.3
appliances,scope,Unchanged,3,100.0
appliances,confidentiality,High,2,66.7
appliances,confidentiality,None,1,33.3
appliances,integrity,High,3,100.0
appliances,availability,High,2,66.7
appliances,availability,None,1,33.3
appliances,impact_combination,C+I+A,2,66.7
appliances,impact_combination,I,1,33.3
hub,attack_vector,Network,205,84.4
hub,attack_vector,Adjacent,23,9.5
hub,attack_vector,Local,10,4.1
hub,attack_vector,Physical,5,2.1
hub,attack_complexity,Low,225,92.6
hub,attack_complexity,High,18,7.4
hub,privileges_required,None,78,32.1
hub,privileges_required,Low,159,65.4
hub,privileges_required,High,6,2.5
hub,user_interaction,None,225,92.6
hub,user_interaction,Required,18,7.4
hub,scope,Unchanged,111,45.7
hub,scope,Changed,132,54.3
hub,confidentiality,High,206,84.8
hub,confidentiality,Low,9,3.7
hub,confidentiality,None,28,11.5
hub,integrity,High,204,84.0
hub,integrity,Low,5,2.1
hub,integrity,None,34,14.0
hub,availability,High,201,82.7
hub,availability,Low,2,0.8
hub,availability,None,40,16.5
hub,impact_combination,C+I+A,183,75.3
hub,impact_combination,C+I,11,4.5
hub,impact_combination,I+A,7,2.9
hub,impact_combination,C,21,8.6
hub,impact_combination,I,8,3.3
hub,impact_combination,A,13,5.3
ev-charging,attack_vector,Network,36,50.7
ev-charging,attack_vector,Adjacent,31,43.7
ev-charging,attack_vector,Local,1,1.4
ev-charging,attack_vector,Physical,3,4.2
ev-charging,attack_complexity,Low,62,87.3
ev-charging,attack_complexity,High,9,12.7
ev-charging,privileges_required,None,53,74.6
ev-charging,privileges_required,Low,12,16.9
ev-charging,privileges_required,High,6,8.5
ev-charging,user_interaction,None,62,87.3
ev-charging,user_interaction,Required,9,12.7
ev-charging,scope,Unchanged,65,91.5
ev-charging,scope,Changed,6,8.5
ev-charging,confidentiality,High,44,62.0
ev-charging,confidentiality,Low,14,19.7
ev-charging,confidentiality,None,13,18.3
ev-charging,integrity,High,46,64.8
ev-charging,integrity,Low,9,12.7
ev-charging,integrity,None,16,22.5
ev-charging,availability,High,40,56.3
ev-charging,availability,Low,1,1.4
ev-charging,availability,None,30,42.3
ev-charging,impact_combination,C+I+A,35,49.3
ev-charging,impact_combination,C+I,8,11.3
ev-charging,impact_combination,C+A,1,1.4
ev-charging,impact_combination,I+A,4,5.6
ev-charging,impact_combination,C,14,19.7
ev-charging,impact_combination,I,8,11.3
ev-charging,impact_combination,A,1,1.4
home-power,attack_vector,Network,37,90.2
home-power,attack_vector,Adjacent,2,4.9
home-power,attack_vector,Physical,2,4.9
home-power,attack_complexity,Low,38,92.7
home-power,attack_complexity,High,3,7.3
home-power,privileges_required,None,34,82.9
home-power,privileges_required,Low,5,12.2
home-power,privileges_required,High,2,4.9
home-power,user_interaction,None,38,92.7
home-power,user_interaction,Required,3,7.3
home-power,scope,Unchanged,39,95.1
home-power,scope,Changed,2,4.9
home-power,confidentiality,High,32,78.0
home-power,confidentiality,Low,7,17.1
home-power,confidentiality,None,2,4.9
home-power,integrity,High,26,63.4
home-power,integrity,Low,2,4.9
home-power,integrity,None,13,31.7
home-power,availability,High,23,56.1
home-power,availability,None,18,43.9
home-power,impact_combination,C+I+A,23,56.1
home-power,impact_combination,C+I,3,7.3
home-power,impact_combination,C,13,31.7
home-power,impact_combination,I,2,4.9
garden,attack_vector,Network,14,73.7
garden,attack_vector,Adjacent,2,10.5
garden,attack_vector,Local,2,10.5
garden,attack_vector,Physical,1,5.3
garden,attack_complexity,Low,16,84.2
garden,attack_complexity,High,3,15.8
garden,privileges_required,None,15,78.9
garden,privileges_required,Low,3,15.8
garden,privileges_required,High,1,5.3
garden,user_interaction,None,15,78.9
garden,user_interaction,Required,4,21.1
garden,scope,Unchanged,16,84.2
garden,scope,Changed,3,15.8
garden,confidentiality,High,14,73.7
