category,vendor_product,matched_tokens,n_new_cves,covered_elsewhere_slug,risk_flags,sample_cves,sample_descriptions
hub,insteon:hub_2245-222,hub,7,smartplugs,non-consumer-vendor,CVE-2017-14443|CVE-2017-16252|CVE-2018-3832,An exploitable information leak vulnerability exists in Insteon Hub running firmware version 1012. The HTTP server implementation incorrectly checks t|Specially crafted commands sent through the PubNub service in Insteon Hub 2245-222 with firmware version 1012 can cause a stack-based buffer overflow |An exploitable firmware update vulnerability exists in Insteon Hub running firmware version 1013. The HTTP server allows for uploading arbitrary MPFS 
hub,emerson:wireless_1410_gateway_firmware,gateway,7,fans|thermostat,broad-token|non-consumer-vendor,CVE-2020-12030|CVE-2021-38485|CVE-2021-42536,There is a flaw in the code used to configure the internal gateway firewall when the gateway's VLAN feature is enabled. If a user enables the VLAN set|The affected product is vulnerable to improper input validation in the restore file. This enables an attacker to provide malicious config files to rep|The affected product is vulnerable to a disclosure of peer username and password by allowing all users access to read global variables.
hub,emerson:wireless_1410_gateway,gateway,7,fans|thermostat,broad-token|non-consumer-vendor,CVE-2020-12030|CVE-2021-38485|CVE-2021-42536,There is a flaw in the code used to configure the internal gateway firewall when the gateway's VLAN feature is enabled. If a user enables the VLAN set|The affected product is vulnerable to improper input validation in the restore file. This enables an attacker to provide malicious config files to rep|The affected product is vulnerable to a disclosure of peer username and password by allowing all users access to read global variables.
hub,dell:edge_gateway_5100_firmware,gateway,7,doorlock,broad-token|non-consumer-vendor,CVE-2022-24415|CVE-2022-24416|CVE-2022-24419,Dell BIOS contains an improper input validation vulnerability. A local authenticated malicious user may potentially exploit this vulnerability by usin|Dell BIOS contains an improper input validation vulnerability. A local authenticated malicious user may potentially exploit this vulnerability by usin|Dell BIOS contains an improper input validation vulnerability. A local authenticated malicious user may potentially exploit this vulnerability by usin
hub,dell:edge_gateway_5100,gateway,7,doorlock,broad-token|non-consumer-vendor,CVE-2022-24415|CVE-2022-24416|CVE-2022-24419,Dell BIOS contains an improper input validation vulnerability. A local authenticated malicious user may potentially exploit this vulnerability by usin|Dell BIOS contains an improper input validation vulnerability. A local authenticated malicious user may potentially exploit this vulnerability by usin|Dell BIOS contains an improper input validation vulnerability. A local authenticated malicious user may potentially exploit this vulnerability by usin
hub,insteon:hub_2245-222_firmware,hub,6,smartplugs,non-consumer-vendor,CVE-2017-14443|CVE-2018-3832|CVE-2018-3833,"An exploitable information leak vulnerability exists in Insteon Hub running firmware version 1012. The HTTP server implementation incorrectly checks t|An exploitable firmware update vulnerability exists in Insteon Hub running firmware version 1013. The HTTP server allows for uploading arbitrary MPFS |An exploitable firmware downgrade vulnerability exists in Insteon Hub running firmware version 1013. The firmware upgrade functionality, triggered via"
hub,emerson:wireless_1410d_gateway_firmware,gateway,6,fans|thermostat,broad-token|non-consumer-vendor,CVE-2021-38485|CVE-2021-42536|CVE-2021-42538,"The affected product is vulnerable to improper input validation in the restore file. This enables an attacker to provide malicious config files to rep|The affected product is vulnerable to a disclosure of peer username and password by allowing all users access to read global variables.|The affected product is vulnerable to a parameter injection via passphrase, which enables the attacker to supply uncontrolled input."
hub,emerson:wireless_1410d_gateway,gateway,6,fans|thermostat,broad-token|non-consumer-vendor,CVE-2021-38485|CVE-2021-42536|CVE-2021-42538,"The affected product is vulnerable to improper input validation in the restore file. This enables an attacker to provide malicious config files to rep|The affected product is vulnerable to a disclosure of peer username and password by allowing all users access to read global variables.|The affected product is vulnerable to a parameter injection via passphrase, which enables the attacker to supply uncontrolled input."
hub,dell:edge_gateway_3200,gateway,6,doorlock,broad-token|non-consumer-vendor,CVE-2023-32467|CVE-2023-32472|CVE-2023-32466,"Dell Edge Gateway BIOS, versions 3200 and 5200, contains an out-of-bounds write vulnerability. A local authenticated malicious user with high privileg|Dell Edge Gateway BIOS, versions 3200 and 5200, contains an out-of-bounds write vulnerability. A local authenticated malicious user with high privileg|Dell Edge Gateway BIOS, versions 3200 and 5200, contains an out-of-bounds write vulnerability. A local authenticated malicious user with high privileg"
hub,symantec:web_gateway_appliance_8450,gateway,6,,broad-token|non-consumer-vendor,CVE-2013-1616|CVE-2013-1617|CVE-2013-4670,The management console on the Symantec Web Gateway (SWG) appliance before 5.1.1 allows remote attackers to execute arbitrary commands by injecting a c|Multiple SQL injection vulnerabilities in the management console on the Symantec Web Gateway (SWG) appliance before 5.1.1 allow remote authenticated a|Multiple cross-site scripting (XSS) vulnerabilities in the management console on the Symantec Web Gateway (SWG) appliance before 5.1.1 allow remote at
