Source File,Source Sheet,CVE,CVSS,CVSS Severity,CWE,CWE Name,Description
CategoryIX_IoTDeviceTypes.xlsx,tplink,CVE-2024-57357,8.0,HIGH,CWE-78,CWE-78,"An issue in TPLINK TL-WPA 8630 TL-WPA8630(US)_V2_2.0.4 Build 20230427 allows a remote attacker to execute arbitrary code via function sub_4256CC, which allows command injection by injecting 'devpwd'."
CategoryIX_IoTDeviceTypes.xlsx,dlink,CVE-2021-21266,6.4,MEDIUM,CWE-611,CWE-611,"openHAB is a vendor and technology agnostic open source automation software for your home. In openHAB before versions 2.5.12 and 3.0.1 the XML external entity (XXE) attack allows attackers in the same network as the openHAB instance to retrieve internal information like the content of files from the file system. Responses to SSDP requests can be especially malicious. All add-ons that use SAX or JAXB parsing of externally received XML are potentially subject to this kind of attack. In openHAB, the following add-ons are potentially impacted: AvmFritz, BoseSoundtouch, DenonMarantz, DLinkSmarthome, Enigma2, FmiWeather, FSInternetRadio, Gce, Homematic, HPPrinter, IHC, Insteon, Onkyo, Roku, SamsungTV, Sonos, Roku, Tellstick, TR064, UPnPControl, Vitotronic, Wemo, YamahaReceiver and XPath Tranformation. The vulnerabilities have been fixed in versions 2.5.12 and 3.0.1 by a more strict configuration of the used XML parser."
CategoryIX_IoTDeviceTypes.xlsx,belkin,CVE-2013-6948,7.8,HIGH,CWE-94,CWE-94,"The peerAddresses API in the Belkin WeMo Home Automation firmware before 3949 allows remote attackers to read arbitrary files via an XML document containing an external entity declaration in conjunction with an entity reference, related to an XML External Entity (XXE) issue."
CategoryIX_IoTDeviceTypes.xlsx,belkin,CVE-2013-6949,9.3,HIGH,CWE-264,CWE-264,"The Belkin WeMo Home Automation firmware before 3949 does not properly use the STUN and TURN protocols, which allows remote attackers to hijack connections and possibly have unspecified other impact by leveraging access to a single WeMo device."
CategoryIX_IoTDeviceTypes.xlsx,belkin,CVE-2013-6950,7.8,HIGH,CWE-310,CWE-310,"The Belkin WeMo Home Automation firmware before 3949 does not use SSL for the distribution feed, which allows man-in-the-middle attackers to install arbitrary firmware by spoofing a distribution server."
CategoryIX_IoTDeviceTypes.xlsx,belkin,CVE-2013-6951,7.1,HIGH,CWE-310,CWE-310,"The Belkin WeMo Home Automation firmware before 3949 does not maintain a set of Certification Authority public keys, which allows man-in-the-middle attackers to spoof SSL servers via an arbitrary X.509 certificate."
CategoryIX_IoTDeviceTypes.xlsx,belkin,CVE-2013-6952,10.0,HIGH,CWE-310,CWE-310,"The Belkin WeMo Home Automation firmware before 3949 has a hardcoded GPG key, which makes it easier for remote attackers to spoof firmware updates and execute arbitrary code via crafted signed data."
CategoryIX_IoTDeviceTypes.xlsx,belkin,CVE-2018-6692,10.0,CRITICAL,CWE-787,CWE-787,Stack-based Buffer Overflow vulnerability in libUPnPHndlr.so in Belkin Wemo Insight Smart Plug allows remote attackers to bypass local security protection via a crafted HTTP post packet.
CategoryIX_IoTDeviceTypes.xlsx,belkin,CVE-2019-12780,9.8,CRITICAL,CWE-78,CWE-78,The Belkin Wemo Enabled Crock-Pot allows command injection in the Wemo UPnP API via the SmartDevURL argument to the SetSmartDevInfo action. A simple POST request to /upnp/control/basicevent1 can allow an attacker to execute commands without authentication.
CategoryIX_IoTDeviceTypes.xlsx,belkin,CVE-2019-17532,7.5,HIGH,CWE-306,CWE-306,"An issue was discovered on Belkin Wemo Switch 28B WW_2.00.11057.PVT-OWRT-SNS devices. They allow remote attackers to cause a denial of service (persistent rules-processing outage) via a crafted ruleDbBody element in a StoreRules request to the upnp/control/rules1 URI, because database corruption occurs."
CategoryIX_IoTDeviceTypes.xlsx,belkin,CVE-2019-17094,8.3,HIGH,CWE-121,CWE-121,A Stack-based Buffer Overflow vulnerability in libbelkin_api.so component of Belkin WeMo Insight Switch firmware allows a local attacker to obtain code execution on the device. This issue affects: Belkin WeMo Insight Switch firmware version 2.00.11396 and prior versions.
CategoryIX_IoTDeviceTypes.xlsx,belkin,CVE-2013-2748,9.8,CRITICAL,CWE-434,CWE-434,Belkin Wemo Switch before WeMo_US_2.00.2176.PVT could allow remote attackers to upload arbitrary files onto the system.
CategoryIX_IoTDeviceTypes.xlsx,belkin,CVE-2023-27217,9.8,CRITICAL,CWE-787,CWE-787,A stack-based buffer overflow in the ChangeFriendlyName() function of Belkin Smart Outlet V2 F7c063 firmware_2.00.11420.OWRT.PVT_SNSV2 allows attackers to cause a Denial of Service (DoS) via a crafted UPNP request.
CategoryIX_IoTDeviceTypes.xlsx,belkin,CVE-2023-33768,6.5,MEDIUM,CWE-347,CWE-347,Incorrect signature verification of the firmware during the Device Firmware Update process of Belkin Wemo Smart Plug WSP080 v1.2 allows attackers to cause a Denial of Service (DoS) via a crafted firmware file.
CategoryIX_IoTDeviceTypes.xlsx,wemo,CVE-2013-6948,7.8,HIGH,CWE-94,CWE-94,"The peerAddresses API in the Belkin WeMo Home Automation firmware before 3949 allows remote attackers to read arbitrary files via an XML document containing an external entity declaration in conjunction with an entity reference, related to an XML External Entity (XXE) issue."
CategoryIX_IoTDeviceTypes.xlsx,wemo,CVE-2013-6949,9.3,HIGH,CWE-264,CWE-264,"The Belkin WeMo Home Automation firmware before 3949 does not properly use the STUN and TURN protocols, which allows remote attackers to hijack connections and possibly have unspecified other impact by leveraging access to a single WeMo device."
CategoryIX_IoTDeviceTypes.xlsx,wemo,CVE-2013-6950,7.8,HIGH,CWE-310,CWE-310,"The Belkin WeMo Home Automation firmware before 3949 does not use SSL for the distribution feed, which allows man-in-the-middle attackers to install arbitrary firmware by spoofing a distribution server."
CategoryIX_IoTDeviceTypes.xlsx,wemo,CVE-2013-6951,7.1,HIGH,CWE-310,CWE-310,"The Belkin WeMo Home Automation firmware before 3949 does not maintain a set of Certification Authority public keys, which allows man-in-the-middle attackers to spoof SSL servers via an arbitrary X.509 certificate."
