Source File,Source Sheet,CVE,CVSS,CVSS Severity,CWE,CWE Name,Description
CategoryIII_CameraDoorbellDeviceTypes.xlsx,video doorbell,CVE-2025-64983,8.0,HIGH,CWE-489,CWE-489,Smart Video Doorbell firmware versions prior to 2.01.078 contain an active debug code vulnerability that allows an attacker to connect via Telnet and gain access to the device.
CategoryIII_CameraDoorbellDeviceTypes.xlsx,smart doorbell,CVE-2019-13336,9.8,CRITICAL,CWE-287,CWE-287,"The dbell Wi-Fi Smart Video Doorbell DB01-S Gen 1 allows remote attackers to launch commands with no authentication verification via TCP port 81, because the loginuse and loginpass parameters to openlock.cgi can have arbitrary values. NOTE: the vendor's position is that this product reached end of life in 2016."
CategoryIII_CameraDoorbellDeviceTypes.xlsx,smart doorbell,CVE-2020-28713,6.5,MEDIUM,CWE-294,CWE-294,"Incorrect access control in push notification service in Night Owl Smart Doorbell FW version 20190505 allows remote users to send push notification events via an exposed PNS server. A remote attacker can passively record push notification events which are sent over an insecure web request. The web service does not authenticate requests, and allows attackers to send an indefinite amount of motion or doorbell events to a user's mobile application by either replaying or deliberately crafting false events."
CategoryIII_CameraDoorbellDeviceTypes.xlsx,smart doorbell,CVE-2024-34896,7.5,HIGH,,,"An issue in Nedis SmartLife Video Doorbell (WIFICDP10GY), Nedis SmartLife IOS v1.4.0 causes users who are disconnected from a previous peer-to-peer connection with the device to still have access to live video feed."
CategoryIII_CameraDoorbellDeviceTypes.xlsx,smart doorbell,CVE-2025-55626,5.3,MEDIUM,CWE-284,CWE-284,An Insecure Direct Object Reference (IDOR) vulnerability in Reolink Smart 2K+ Plug-in Wi-Fi Video Doorbell with Chime - firmware v3.0.0.4662_2503122283 allows unauthorized attackers to access the Admin-only settings and edit the session storage.
CategoryIII_CameraDoorbellDeviceTypes.xlsx,smart doorbell,CVE-2025-55627,5.3,MEDIUM,CWE-269,CWE-269,Insufficient privilege verification in Reolink Smart 2K+ Plug-in Wi-Fi Video Doorbell with Chime - firmware v3.0.0.4662_2503122283 allows authenticated attackers to create accounts with elevated privileges.
CategoryIII_CameraDoorbellDeviceTypes.xlsx,smart doorbell,CVE-2025-55629,6.5,MEDIUM,CWE-378,CWE-378,Insecure permissions in Reolink Smart 2K+ Plug-in Wi-Fi Video Doorbell with Chime - firmware v3.0.0.4662_2503122283 allow attackers to arbitrarily change other users' passwords via manipulation of the userName value.
CategoryIII_CameraDoorbellDeviceTypes.xlsx,smart doorbell,CVE-2025-55630,7.3,HIGH,CWE-284,CWE-284,A discrepancy in the error message returned by the login function of Reolink Smart 2K+ Plug-in Wi-Fi Video Doorbell with Chime - firmware v3.0.0.4662_2503122283 when entering the wrong username and password allows attackers to enumerate existing accounts.
CategoryIII_CameraDoorbellDeviceTypes.xlsx,smart doorbell,CVE-2025-55631,4.0,MEDIUM,CWE-400,CWE-400,"Reolink Smart 2K+ Plug-in Wi-Fi Video Doorbell with Chime - firmware v3.0.0.4662_2503122283 was discovered to manage users' sessions system wide instead of an account-by-account basis, potentially leading to a Denial of Service (DoS) via resource exhaustion. NOTE: the Supplier reports that the system-wide limit is intentional."
CategoryIII_CameraDoorbellDeviceTypes.xlsx,smart doorbell,CVE-2025-55634,7.5,HIGH,CWE-400,CWE-400,Incorrect access control in the RTMP server settings of Reolink Smart 2K+ Plug-in Wi-Fi Video Doorbell with Chime - firmware v3.0.0.4662_2503122283 allows unauthorized attackers to cause a Denial of Service (DoS) via initiating a large number of simultaneous ffmpeg-based stream pushes.
CategoryIII_CameraDoorbellDeviceTypes.xlsx,smart doorbell,CVE-2025-55637,9.8,CRITICAL,CWE-77,CWE-77,Reolink Smart 2K+ Plug-in Wi-Fi Video Doorbell with Chime - firmware v3.0.0.4662_2503122283 was discovered to contain a command injection vulnerability via the setddns_pip_system() function.
CategoryIII_CameraDoorbellDeviceTypes.xlsx,smart doorbell,CVE-2025-64983,8.0,HIGH,CWE-489,CWE-489,Smart Video Doorbell firmware versions prior to 2.01.078 contain an active debug code vulnerability that allows an attacker to connect via Telnet and gain access to the device.
CategoryIX_IoTDeviceTypes.xlsx,ring,CVE-2015-4400,4.6,MEDIUM,CWE-255,CWE-255,Ring (formerly DoorBot) video doorbells allow remote attackers to obtain sensitive information about the wireless network configuration by pressing the set up button and leveraging an API in the GainSpan Wi-Fi module.
CategoryIX_IoTDeviceTypes.xlsx,ring,CVE-2019-9483,9.1,CRITICAL,CWE-327,CWE-327,"Amazon Ring Doorbell before 3.4.7 mishandles encryption, which allows attackers to obtain audio and video data, or insert spoofed video that does not correspond to the actual person at the door."
CategoryIX_IoTDeviceTypes.xlsx,ring,CVE-2019-12326,7.2,HIGH,CWE-434,CWE-434,"Missing file and path validation in the ringtone upload function of the Akuvox R50P VoIP phone 50.0.6.156 allows an attacker to upload a manipulated ringtone file, with an executable payload (shell commands within the file) and trigger code execution."
CategoryI_SmartHomeDeviceTypes.xlsx,smart home,CVE-2021-47706,,,CWE-565,CWE-565,COMMAX Biometric Access Control System 1.0.0 contains an authentication bypass vulnerability that allows unauthenticated attackers to access sensitive information and circumvent physical controls in smart homes and buildings by exploiting cookie poisoning. Attackers can forge cookies to bypass authentication and disclose sensitive information.
CategoryI_SmartHomeDeviceTypes.xlsx,smart home,CVE-2021-47708,,,CWE-89,CWE-89,COMMAX Smart Home System CDP-1020n contains an SQL injection vulnerability that allows attackers to bypass authentication by injecting arbitrary SQL code through the 'id' parameter in 'loginstart.asp'. Attackers can exploit this by sending a POST request with malicious 'id' values to manipulate database queries and gain unauthorized access.
CategoryI_SmartHomeDeviceTypes.xlsx,smart home,CVE-2021-47709,,,CWE-306,CWE-306,COMMAX Smart Home System allows an unauthenticated attacker to change configuration and cause denial-of-service through the setconf endpoint. Attackers can trigger a denial-of-service scenario by sending a malformed request to the setconf endpoint.
CategoryI_SmartHomeDeviceTypes.xlsx,smart home,CVE-2021-47710,,,CWE-306,CWE-306,"COMMAX Smart Home System is a smart IoT home solution that allows an unauthenticated attacker to disclose RTSP credentials in plain-text by exploiting the /overview.asp endpoint. Attackers can access sensitive information, including login credentials and DVR settings, by submitting a GET request to this endpoint."
CategoryI_SmartHomeDeviceTypes.xlsx,smart device,CVE-2024-34896,7.5,HIGH,,,"An issue in Nedis SmartLife Video Doorbell (WIFICDP10GY), Nedis SmartLife IOS v1.4.0 causes users who are disconnected from a previous peer-to-peer connection with the device to still have access to live video feed."
CategoryI_SmartHomeDeviceTypes.xlsx,smart device,CVE-2025-64983,8.0,HIGH,CWE-489,CWE-489,Smart Video Doorbell firmware versions prior to 2.01.078 contain an active debug code vulnerability that allows an attacker to connect via Telnet and gain access to the device.
CategoryI_SmartHomeDeviceTypes.xlsx,smart device,CVE-2024-58336,5.3,MEDIUM,CWE-306,CWE-306,Akuvox Smart Intercom S539 contains an unauthenticated vulnerability that allows remote attackers to access live video streams by requesting the video.cgi endpoint on port 8080. Attackers can retrieve video stream data without authentication by directly accessing the specified endpoint on affected Akuvox doorphone and intercom devices.
CategoryVIII_ProtocolDeviceTypes.xlsx,smart home,CVE-2021-47706,,,CWE-565,CWE-565,COMMAX Biometric Access Control System 1.0.0 contains an authentication bypass vulnerability that allows unauthenticated attackers to access sensitive information and circumvent physical controls in smart homes and buildings by exploiting cookie poisoning. Attackers can forge cookies to bypass authentication and disclose sensitive information.
CategoryVIII_ProtocolDeviceTypes.xlsx,smart home,CVE-2021-47708,,,CWE-89,CWE-89,COMMAX Smart Home System CDP-1020n contains an SQL injection vulnerability that allows attackers to bypass authentication by injecting arbitrary SQL code through the 'id' parameter in 'loginstart.asp'. Attackers can exploit this by sending a POST request with malicious 'id' values to manipulate database queries and gain unauthorized access.
CategoryVIII_ProtocolDeviceTypes.xlsx,smart home,CVE-2021-47709,,,CWE-306,CWE-306,COMMAX Smart Home System allows an unauthenticated attacker to change configuration and cause denial-of-service through the setconf endpoint. Attackers can trigger a denial-of-service scenario by sending a malformed request to the setconf endpoint.
