iri	vocabulary
https://saref.etsi.org/saref4auto/AutomotiveDevice	SAREF4AUTO
https://saref.etsi.org/saref4auto/AutomotiveEntity	SAREF4AUTO
https://saref.etsi.org/saref4auto/BooleanProperty	SAREF4AUTO
https://saref.etsi.org/saref4auto/ClusterBreakup	SAREF4AUTO
https://saref.etsi.org/saref4auto/ClusterBreakupReason	SAREF4AUTO
https://saref.etsi.org/saref4auto/ClusterJoin	SAREF4AUTO
https://saref.etsi.org/saref4auto/ClusterLeave	SAREF4AUTO
https://saref.etsi.org/saref4auto/ClusterLeaveReason	SAREF4AUTO
https://saref.etsi.org/saref4auto/ConfidenceValue	SAREF4AUTO
https://saref.etsi.org/saref4auto/ConfidenceValueAt95	SAREF4AUTO
https://saref.etsi.org/saref4auto/DangerousGoods	SAREF4AUTO
https://saref.etsi.org/saref4auto/DecimalProperty	SAREF4AUTO
https://saref.etsi.org/saref4auto/IndexedProperty	SAREF4AUTO
https://saref.etsi.org/saref4auto/IndexedPropertyValue	SAREF4AUTO
https://saref.etsi.org/saref4auto/InductionLoopSensor	SAREF4AUTO
https://saref.etsi.org/saref4auto/IntegerProperty	SAREF4AUTO
https://saref.etsi.org/saref4auto/ItsAggregationSensor	SAREF4AUTO
https://saref.etsi.org/saref4auto/LidarSensor	SAREF4AUTO
https://saref.etsi.org/saref4auto/LocalAggregationSensor	SAREF4AUTO
https://saref.etsi.org/saref4auto/MonovideoSensor	SAREF4AUTO
https://saref.etsi.org/saref4auto/NightvisionSensor	SAREF4AUTO
https://saref.etsi.org/saref4auto/ParkingSpot	SAREF4AUTO
https://saref.etsi.org/saref4auto/Platoon	SAREF4AUTO
https://saref.etsi.org/saref4auto/PlatoonBreakup	SAREF4AUTO
https://saref.etsi.org/saref4auto/PlatoonJoin	SAREF4AUTO
https://saref.etsi.org/saref4auto/PlatoonLeave	SAREF4AUTO
https://saref.etsi.org/saref4auto/PmdSensor	SAREF4AUTO
https://saref.etsi.org/saref4auto/RadarSensor	SAREF4AUTO
https://saref.etsi.org/saref4auto/RoadSideActuator	SAREF4AUTO
https://saref.etsi.org/saref4auto/RoadSideEquipment	SAREF4AUTO
https://saref.etsi.org/saref4auto/RoadSideSensor	SAREF4AUTO
https://saref.etsi.org/saref4auto/RoadSideUnit	SAREF4AUTO
https://saref.etsi.org/saref4auto/SphericalCameraSensor	SAREF4AUTO
https://saref.etsi.org/saref4auto/StereovisionSensor	SAREF4AUTO
https://saref.etsi.org/saref4auto/StringProperty	SAREF4AUTO
https://saref.etsi.org/saref4auto/TrafficDirection	SAREF4AUTO
https://saref.etsi.org/saref4auto/TrafficEventCause	SAREF4AUTO
https://saref.etsi.org/saref4auto/TrafficEventObservation	SAREF4AUTO
https://saref.etsi.org/saref4auto/TrafficLightController	SAREF4AUTO
https://saref.etsi.org/saref4auto/TrafficManagementCentre	SAREF4AUTO
https://saref.etsi.org/saref4auto/TrafficParticipant	SAREF4AUTO
